store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
Chicago Chef Perfect,Address not specified,Opening,May 14,May 14,Chicago Chef Perfects the Gourmet Baked Potato.,https://whatnow.com/chicago/restaurants/chicago-chef-perfects-the-gourmet-baked-potato/,"May 14, 2026",batch_1_output,2026-05-15
C.R. Chicks,"3346 SE Federal Hwy, Stuart, FL 34997",Opening,May 14,is Opening,C.R. Chicks is Opening in Stuart.,https://whatnow.com/miami/restaurants/c-r-chicks-is-opening-in-stuart/,"May 14, 2026",batch_1_output,2026-05-15
PopStroke,"1802 NW 37th Ave, Miami, FL 33125",Opening,May 14,to Open,PopStroke to Open at Miami Freedom Park.,https://whatnow.com/miami/restaurants/popstroke-to-open-at-miami-freedom-park/,"May 14, 2026",batch_1_output,2026-05-15
Paladino’s Italian Eatery,"2711 S Alma School Rd, Mesa, AZ 85210",Opening,May 14,to Debut,Paladino’s Italian Eatery to Debut Mesa Location.,https://whatnow.com/phoenix/restaurants/paladinos-italian-eatery-to-debut-mesa-location/,"May 14, 2026",batch_1_output,2026-05-15
Pinthouse,"1605 E New Hope Dr Building 1, Leander, TX 78641",Opening,May 14,Location To Take Shape,Pinthouse Location To Take Shape In Leander.,https://whatnow.com/austin/restaurants/pinthouse-location-to-take-shape-in-leander/,"May 14, 2026",batch_1_output,2026-05-15
Paper Rice,"2202 Sawtelle Blvd, Los Angeles, CA 90064",Opening,May 14,Bringing,Paper Rice Bringing Fast-Casual Vietnamese Cuisine To Sawtelle.,https://whatnow.com/los-angeles/restaurants/paper-rice-bringing-fast-casual-vietnamese-cuisine-to-sawtelle/,"May 14, 2026",batch_1_output,2026-05-15
Honest Indian Vegetarian Restaurant,"145 W Townline Rd, Vernon Hills, IL 60061",Opening,May 14,To Open,Honest Indian Vegetarian Restaurant To Open In Vernon Hills.,https://whatnow.com/chicago/restaurants/honest-indian-vegetarian-restaurant-to-open-in-vernon-hills/,"May 14, 2026",batch_1_output,2026-05-15
7 Brew,"2828 N Germantown Parkway, Memphis, TN 38133",Opening,May 14,Bringing,7 Brew Bringing Mid-Summer Caffeine Boost to Memphis.,https://whatnow.com/memphis/restaurants/7-brew-bringing-mid-summer-caffeine-boost-to-memphis/,"May 14, 2026",batch_1_output,2026-05-15
Jerk Yard,"90 S Orchard Dr, Park Forest, IL 60466",Opening,May 14,Heading South to Debut,Jerk Yard Heading South to Debut New Restaurant in Park Forest Plaza West Shopping Center.,https://whatnow.com/chicago/restaurants/jerk-yard-heading-south-to-debut-new-restaurant-in-park-forest/,"May 14, 2026",batch_1_output,2026-05-15
The Baillie,Capitol Hill,Opening,Summer 2027,Planned for,The Baillie Planned for Capitol Hill in Summer 2027.,https://whatnow.com/seattle/restaurants/the-baillie-planned-for-capitol-hill-in-summer-2027/,"May 14, 2026",batch_1_output,2026-05-15
Mikaelas Taste of Asia,"707 E Fremont St, Las Vegas, NV 89101",Opening,May 14,to Come to,Mikaelas Taste of Asia to Come to Container Park.,https://whatnow.com/las-vegas/restaurants/mikaelas-taste-of-asia-to-come-to-container-park/,"May 14, 2026",batch_1_output,2026-05-15
Tilly Bagel,"3162 N Broadway, Chicago, IL 60657",Opening,May 14,Owners Cooking Up Third Location,Tilly Bagel Owners Cooking Up Third Location in Lakeview.,https://whatnow.com/chicago/restaurants/tilly-bagel-owners-cooking-up-third-location-in-lakeview/,"May 14, 2026",batch_1_output,2026-05-15
Yoka Tea,"5335 Ballard Ave NW, Seattle, WA 98107",Opening,May 14,Eyes Ballard Expansion,Yoka Tea Eyes Ballard Expansion Following Madrona Success.,https://whatnow.com/seattle/restaurants/yoka-tea-eyes-ballard-expansion-following-madrona-success/,"May 14, 2026",batch_1_output,2026-05-15
Ogyu,"60 Greenfield Ave., Ardmore, PA 19003",Opening,May 14,Plans Premium,Ogyu Plans Premium Japanese Yakiniku Experience in Ardmore.,https://whatnow.com/philadelphia/restaurants/ogyu-plans-premium-japanese-yakiniku-experience-on-the-main-line/,"May 14, 2026",batch_1_output,2026-05-15
On The Grind,Kyle,Opening,May 14,Bringing Coffee Kiosk To,On The Grind Bringing Coffee Kiosk To Kyle.,https://whatnow.com/austin/restaurants/on-the-grind-bringing-coffee-kiosk-to-kyle/,"May 14, 2026",batch_1_output,2026-05-15
A Landmark Diner and Bakery,"28030 Gratiot Ave, Roseville, MI 48066",Closing,Not specified,Plans Closure,A Landmark Diner and Bakery Plans Closure After Years of Operation.,https://whatnow.com/detroit/restaurants/a-landmark-diner-and-bakery-plans-closure-after-years-of-operation/,"May 14, 2026",batch_1_output,2026-05-15
Popular Seafood Restaurant,"8171 Santa Monica Blvd, West Hollywood, CA 90046",Closing,This Summer,Set to Close Doors This Summer,Popular Seafood Restaurant in West Hollywood Set to Close Doors This Summer.,https://whatnow.com/los-angeles/restaurants/popular-seafood-restaurant-in-west-hollywood-set-to-close-doors-this-summer/,"May 14, 2026",batch_1_output,2026-05-15
Proud Mary Coffee,"4301 Guadalupe St #100, Austin, TX 78751",Opening,May 14,Appears To Have Second Austin Location In The Works,Proud Mary Coffee Appears To Have Second Austin Location In The Works.,https://whatnow.com/austin/restaurants/proud-mary-coffee-appears-to-have-second-austin-location-in-the-works/,"May 14, 2026",batch_1_output,2026-05-15
IHOP,"13320 US-290, Manor, TX 78653",Opening,May 14,Location On The Way To,IHOP Location On The Way To Manor.,https://whatnow.com/austin/restaurants/ihop-location-on-the-way-to-manor/,"May 14, 2026",batch_1_output,2026-05-15
16 Handles,Orange County,Opening,May 14,to Open Two Locations,16 Handles to Open Two Locations in Orange County.,https://whatnow.com/orange-county/restaurants/16-handles-set-to-open-two-locations-in-orange-county/,"May 14, 2026",batch_1_output,2026-05-15
A Fast-Growing U.S. Restaurant Chain,"755 Crescent Centre Dr #104, Franklin, TN 37067",Opening,May 14,Opens New Tennessee Location,A Fast-Growing U.S. Restaurant Chain Opens New Tennessee Location.,https://whatnow.com/nashville/restaurants/a-fast-growing-u-s-restaurant-chain-opens-new-tennessee-location/,"May 14, 2026",batch_1_output,2026-05-15
Union Square Donuts,"94 Derby St, Hingham, MA 02043",Opening,May 14,Bringing Sweet Treats and Drinks to,Union Square Donuts Bringing Sweet Treats and Drinks to Hingham's Derby Street Shops.,https://whatnow.com/boston/restaurants/union-square-donuts-bringing-sweet-treats-and-drinks-to-hinghams-derby-street-shops/,"May 14, 2026",batch_1_output,2026-05-15
Experienced Pizza Maker New Concept,"14330 Fenton Rd, Fenton, MI 48430",Opening,May 14,Preparing New Concept on North Side of,Experienced Pizza Maker Preparing New Concept on North Side of Fenton.,https://whatnow.com/detroit/restaurants/experienced-pizza-maker-preparing-new-concept-on-north-side-of-fenton/,"May 14, 2026",batch_1_output,2026-05-15
A Popular Bay Area Ramen Brand,"1630 Cypress St, Walnut Creek, CA 94596",Opening,May 14,Expands With New Walnut Creek Location,A Popular Bay Area Ramen Brand Expands With New Walnut Creek Location.,https://whatnow.com/san-francisco/restaurants/a-popular-bay-area-ramen-brand-expands-with-new-walnut-creek-location/,"May 14, 2026",batch_1_output,2026-05-15
MAKE Café,"4712 Felton St, San Diego, CA 92116",Opening,May 14,to Open Restaurant in,MAKE Café to Open Restaurant in San Diego.,https://whatnow.com/san-diego/restaurants/make-cafe-to-open-restaurant-in-san-diego/,"May 14, 2026",batch_1_output,2026-05-15
Sweet Bloom Coffee Roasters,"Ninth Street and Washington Avenue, Denver",Opening,May 14,to Open New Location in,Sweet Bloom Coffee Roasters to Open New Location in Denver.,https://whatnow.com/denver/restaurants/sweet-bloom-coffee-roasters-to-open-new-location-in-denver/,"May 14, 2026",batch_1_output,2026-05-15
A New Italian Dining Spot,"106 3rd Ave, New York, NY 10003",Opening,May 14,Opens in Manhattan’s East Village,A New Italian Dining Spot Opens in Manhattan’s East Village.,https://whatnow.com/new-york/restaurants/a-new-italian-dining-spot-opens-in-manhattans-east-village/,"May 14, 2026",batch_1_output,2026-05-15
Pepe’s Cantina Mexican Grill,"7700 N Wickham Rd, Melbourne, FL 32940",Opening,This August,Opening Viera Location This August,Pepe’s Cantina Mexican Grill Opening Viera Location This August.,https://whatnow.com/orlando/restaurants/pepes-cantina-mexican-grill-opening-viera-location-this-august/,"May 14, 2026",batch_1_output,2026-05-15
Huey Magoo’s,"3007 S Hwy 27, Clermont, FL 34711",Opening,May 14,Heads to,Huey Magoo’s Heads to Clermont.,https://whatnow.com/orlando/restaurants/huey-magoos-heads-to-clermont/,"May 14, 2026",batch_1_output,2026-05-15
Babbi Babbi Korean Kitchen,"10799 Moss Park Rd, Orlando, FL 32832",Opening,May 14,Plans Opening of Third Location,Babbi Babbi Korean Kitchen Plans Opening of Third Location.,https://whatnow.com/orlando/restaurants/babbi-babbi-korean-kitchen-plans-opening-of-third-location/,"May 14, 2026",batch_1_output,2026-05-15
Fiorenza Italian,"11500 Webb Bridge Way, Alpharetta, GA 30005",Opening,May 14,Bringing Flavors Of Tuscany To,Fiorenza Italian Bringing Flavors Of Tuscany To Alpharetta.,https://whatnow.com/atlanta/restaurants/fiorenza-italian-bringing-flavors-of-tuscany-to-alpharetta/,"May 14, 2026",batch_1_output,2026-05-15
Jimmy John’s,"1851 Golden Eagle Way, Fleming Island, FL 32003",Opening,May 14,Looks to Be Planning New Location in,Jimmy John’s Looks to Be Planning New Location in Fleming Island.,https://whatnow.com/jacksonville/restaurants/jimmy-johns-looks-to-be-planning-new-location-in-fleming-island/,"May 14, 2026",batch_1_output,2026-05-15
Heartbutter,"4612 Gilead St, Charlotte, NC 28217",Opening,May 14,Plans Charlotte Pop-Ups,Heartbutter Plans Charlotte Pop-Ups With Long-Term Brick-And-Mortar Goals.,https://whatnow.com/charlotte/restaurants/heartbutter-plans-charlotte-pop-ups-with-long-term-brick-and-mortar-goals/,"May 14, 2026",batch_1_output,2026-05-15
Popular Bar and Tasting Room,"1090 Farm to Market 32, San Marcos, TX 78666",Closing,May 31,to Close May 31,Popular Bar and Tasting Room in Texas Hill Country to Close May 31.,https://whatnow.com/austin/restaurants/popular-bar-and-tasting-room-in-texas-hill-country-to-close-may-31/,"May 14, 2026",batch_1_output,2026-05-15
Slapperz on Second,"209 S 2nd St, Flagler Beach, FL 32136",Opening,May 14,Opening in,Slapperz on Second Opening in Flagler Beach.,https://whatnow.com/jacksonville/restaurants/slapperz-on-second-opening-in-flagler-beach/,"May 14, 2026",batch_1_output,2026-05-15
Potbelly Sandwich Shop,Downtown Knoxville,Opening,May 14,Eyes Downtown Knoxville For First East Tennessee Location,Potbelly Sandwich Shop Eyes Downtown Knoxville For First East Tennessee Location.,https://whatnow.com/nashville/restaurants/potbelly-sandwich-shop-eyes-downtown-knoxville-for-first-east-tennessee-location/,"May 14, 2026",batch_1_output,2026-05-15
JavaCone,"5537 Palmer Crossing Cir, Sarasota, FL 34233",Opening,May 14,Bringing Coffee and Ice Cream to,JavaCone Bringing Coffee and Ice Cream to Sarasota.,https://whatnow.com/tampa/restaurants/javacone-bringing-coffee-and-ice-cream-to-sarasota/,"May 14, 2026",batch_1_output,2026-05-15
Ice & Cream Creamery,"3119 Beach Blvd S, Gulfport, FL 33707",Opening,May 14,Plans Gulfport Expansion,Ice & Cream Creamery Plans Gulfport Expansion.,https://whatnow.com/tampa/restaurants/ice-cream-creamery-plans-gulfport-expansion/,"May 14, 2026",batch_1_output,2026-05-15
New Donut Shop (Lakeland Donuts),"2810 Florida Ave S, Lakeland, FL 33803",Opening,May 14,Looks to Be Opening in,New Donut Shop Looks to Be Opening in Lakeland.,https://whatnow.com/tampa/restaurants/new-donut-shop-looks-to-be-opening-in-lakeland/,"May 14, 2026",batch_1_output,2026-05-15
PITA Street Food,"30 E Crossville Rd, Roswell, GA 30075",Opening,Not specified,Expanding To Roswell This Summer,PITA Street Food is expanding to Roswell. The new location is at 30 E Crossville Rd.,https://whatnow.com/atlanta/restaurants/pita-street-food-expanding-to-roswell-this-summer/,"May 14, 2026",batch_2_output,2026-05-15
Sabrina’s Cafe,"419 Bainbridge St., Philadelphia, PA 19147",Opening,Not specified,Expands With Queen Village Location,Sabrina’s Cafe expands its Philadelphia footprint with a new Queen Village location. The address is 419 Bainbridge St.,https://whatnow.com/philadelphia/restaurants/sabrinas-cafe-expands-philadelphia-footprint-with-queen-village-location/,"May 14, 2026",batch_2_output,2026-05-15
Authentic Italian Bistro and Wine Bar,"158 8th Ave, New York, NY 10011",Opening,Not specified,Coming to Chelsea,An authentic Italian bistro and wine bar is coming to Chelsea at 158 8th Ave.,https://whatnow.com/new-york/restaurants/authentic-italian-bistro-and-wine-bar-coming-to-chelsea/,"May 14, 2026",batch_2_output,2026-05-15
Maman,"66 Water St, Brooklyn, NY 11201",Opening,Not specified,is bringing its signature charm and chocolate chip cookies to DUMBO,Maman is bringing its signature charm and chocolate chip cookies to DUMBO at 66 Water St.,https://whatnow.com/new-york/restaurants/maman-is-bringing-its-signature-charm-and-chocolate-chip-cookies-to-dumbo/,"May 14, 2026",batch_2_output,2026-05-15
Cafe Bar J.F.,"50 Withers St, Brooklyn, NY 11211",Opening,Not specified,Opens in Williamsburg,Cafe Bar J.F. opens in Williamsburg at 50 Withers St.,https://whatnow.com/new-york/restaurants/cafe-bar-j-f-opens-in-williamsburg/,"May 14, 2026",batch_2_output,2026-05-15
