store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
Chipotle Mexican Grill,"12 Royce Circle, Storrs Center, Storrs, CT",Opening,Not specified,planned for,"Chipotle filed for building permits on May 11th to convert the current Gansett Wraps space at 12 Royce Circle into a new Chipotle restaurant. The permits call for a fit-out of the existing space in a 5-story mixed-use building, with exterior and interior alterations. No opening date has been announced.",https://www.theconnecticutscoop.com/all-tolland-county-posts/storrs-scoop-chipotle-mexican-grill-planned-for-storrs-center,5/14/2026,ct_scoop_batch1_output,2026-05-15
Gansett Wraps,"33 Wilbur Cross Way (former Tang Karaoke Bar), Storrs Center, Storrs, CT",Opening,Not specified,planned for,"Gansett Wraps is building out a new space at 33 Wilbur Cross Way inside Storrs Center, the former Tang Karaoke Bar location. The new space is described as slightly larger than their current location and with improved parking. No opening date has been announced.",https://www.theconnecticutscoop.com/all-tolland-county-posts/storrs-scoop-chipotle-mexican-grill-planned-for-storrs-center,5/14/2026,ct_scoop_batch1_output,2026-05-15
Läderach Chocolatier Suisse,"Westfarms Mall (next to Lovisa, second floor), West Hartford, CT",Opening,"Summer 2026 (stated as ""this summer"")",Look for them to open this summer!,"Swiss chocolatier Läderach is coming soon to Westfarms mall next to Lovisa on the second floor. The brand produces over 100 varieties of chocolates including FrischSchoggi, pralines, truffles, and seasonal creations. No specific opening date was provided.",https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-more-changes-coming-to-westfarms-including-new-chocolate-shop,5/14/2026,ct_scoop_batch1_output,2026-05-15
The North Face,"Westfarms Mall (next to Alo), West Hartford, CT",Opening,Not specified,NOW OPEN,"The North Face has relocated within Westfarms mall to a new space next to Alo, with a brand new look. No specific opening date was given in the article.",https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-more-changes-coming-to-westfarms-including-new-chocolate-shop,5/14/2026,ct_scoop_batch1_output,2026-05-15
Riviera French Cafe,"Westfarms Mall (center court, near Claire's), West Hartford, CT",Opening,Not specified,NOW OPEN,"Riviera French Cafe is now open as a kiosk in the mall's center court serving coffee, espresso beverages, stuffed crepes, pastries, and French-inspired food. This is the second location for the Sarasota-based cafe.",https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-more-changes-coming-to-westfarms-including-new-chocolate-shop,5/14/2026,ct_scoop_batch1_output,2026-05-15
The Plourd Brewery,"1277 Main Street, East Hartford, CT",Opening,"May 2, 2026",recently opened,"The Plourd Brewery opened at 1277 Main Street in East Hartford, the former Paddle Creek Beer Company space, celebrating their opening on May 2nd. The brewery is owned by husband and wife Tyler and Melissa Plourd and focuses on contemporary hoppy beers and European-inspired lagers.",https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-the-plourd-brewery-opens-in-east-hartford,5/14/2026,ct_scoop_batch1_output,2026-05-15
Xtrait Perfumery,"968A Farmington Avenue, West Hartford, CT",Opening,Not specified (soft opened earlier in the week of the article),soft opened,"Xtrait Perfumery has opened at 968A Farmington Avenue in West Hartford, the former home of Center Framing & Art, with a soft open and more perfumes still to come. It is described as the first niche fragrance boutique in CT focused on independent brands not found in malls.",https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-xtrait-perfumery-brings-niche-fragrance-boutique-to-west-hartford-center,5/14/2026,ct_scoop_batch1_output,2026-05-15
Joey'z Shopping Spree,"348 Middle Turnpike West, Manchester Parkade, Manchester, CT",Closing,"Not specified (""in the coming weeks"")",permanently closing,"Joey'z Shopping Spree will be permanently closing their Manchester location in the coming weeks. The store is currently liquidating with items between 10% and 70% off, with mark-downs expected to increase.",https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-joeyz-shopping-spree-closing-in-manchester,5/14/2026,ct_scoop_batch1_output,2026-05-15
Mezzie's Ice Cream & Coffee,"State House Square (food court), Hartford, CT",Opening,Not specified,coming soon,Mezzie's Ice Cream & Coffee is coming soon to the food court at State House Square in Downtown Hartford. The shop makes ice cream in an Italian gelato machine for a silky texture and will serve New Harvest Coffee. No opening date has been announced.,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-new-ice-cream-coffee-shop-coming-to-state-house-square,5/14/2026,ct_scoop_batch1_output,2026-05-15
Home Restaurant,"114 Main Street, Branford, CT",Closing,"May 31, 2026",will close its doors on May 31st,"Home Restaurant has announced it will close its doors on May 31st after 14 years in operation, having originally opened in 2012. Owner Jared Schulefand stated the closure was a hard but necessary decision, noting patrons can visit the owner's other restaurant concepts.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/branford-scoop-home-restaurant-closing-in-branford-after-14-years,5/14/2026,ct_scoop_batch1_output,2026-05-15
Sally's Apizza,"100 North Water Street (The Sono Collection, restaurant level), Norwalk, CT",Opening,Sometime in 2026,work progressing,"Construction on Sally's Apizza at The SoNo Collection is continuing with exterior walls removed and new glass storefront windows installed, despite an ongoing lawsuit from the landlord alleging over $1.5 million in back-rent and damages. New Haven-based Sally's Apizza originally signed a lease at the location in 2019 with the opening timeline updated multiple times.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/norwalk-scoop-work-progressing-on-sallys-apizza-despite-lawsuit,5/14/2026,ct_scoop_batch1_output,2026-05-15
Bagel City,"590 Main Street, Monroe, CT",Opening,"May 12, 2026",NOW OPEN,"Bagel City opened on May 12th at 590 Main Street in Monroe, the former Sip & Scoop ice cream shop location. The family-owned halal bagelry features fresh-made bagels, breakfast and lunch sandwiches, pastries, salads, coffees, and a wide variety of bagel and cream cheese flavors.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/monroe-scoop-bagel-city-celebrates-its-opening-in-monroe,5/14/2026,ct_scoop_batch1_output,2026-05-15
Norwalk Bagel Company,"133 Washington Street, Norwalk, CT",Opening,"May 15, 2026",now open,"Norwalk Bagel Company opened on May 15th at 133 Washington Street in Norwalk, the former Pokemoto space. The shop is owned by Chef Gary King and Pastry Chef Emily King, the same team behind award-winning Ridgefield Bagels & Bakes, and serves a variety of bagels, sandwiches, coffees, and espresso beverages.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/norwalk-scoop-new-bagel-shop-from-award-winning-team-opens-in-norwalk,5/14/2026,ct_scoop_batch1_output,2026-05-15
Yemerica Coffee,"1115 Riverdale Street (Riversale Center), West Springfield, MA",Opening,Late summer/early fall 2026,coming soon,"Yemerica Coffee is coming soon to 1115 Riverdale Street in West Springfield, located between Table & Vine and Hot Table Panini at Riversale Center. The cafe blends traditional Yemeni and American coffee cultures and will be the fourth Yemerica Coffee location.",https://www.theconnecticutscoop.com/all-mass-posts/west-springfield-scoop-yemerica-bringing-yemeni-coffee-to-west-springfield,5/14/2026,ct_scoop_batch1_output,2026-05-15
Morán Honduras Restaurant,"534 Middle Turnpike East, Manchester, CT",Opening,Not specified,NOW OPEN,"Morán Honduras Restaurant reopened at 534 Middle Turnpike East in Manchester under new ownership after briefly closing to complete the ownership transfer. The menu features nachos, burritos, quesadillas, pupusas, tacos, burgers, salads, and Hispanic breakfast options.",https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-moran-restaurant-reopens-under-new-owners,5/13/2026,ct_scoop_batch1_output,2026-05-15
7 Brew Coffee,"117 Washington Avenue (Washington Commons shopping center), North Haven, CT",Opening,"June 8, 2026",officially open on June 8th,"7 Brew Coffee has set June 8th as the official opening date for its new North Haven drive-thru location at 117 Washington Avenue. The opening festivities include a ""Pay What You Want"" charity weekend May 29–31 benefiting The Animal Haven and Friends & Family free-drink days June 5–7.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-7-brew-sets-opening-date,5/13/2026,ct_scoop_batch1_output,2026-05-15
The Wok Chinese Kitchen,"440 Boston Post Road, Orange, CT",Opening,Not specified,coming soon,"The Wok Chinese Kitchen is coming soon to the former Five Guys space at 440 Boston Post Road in Orange, serving Chinese cuisine in a fast-casual format. It is a growing chain with 3 existing Pennsylvania locations and additional openings planned in New Jersey.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-the-wok-chinese-kitchen-coming-to-former-five-guys-space,5/13/2026,ct_scoop_batch1_output,2026-05-15
Five Guys,"440 Boston Post Road, Orange, CT",Closing,Late 2025,closed abruptly,Five Guys closed abruptly in late 2025 at 440 Boston Post Road in Orange after over two decades of business at that location. The space is now being taken over by The Wok Chinese Kitchen.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-the-wok-chinese-kitchen-coming-to-former-five-guys-space,5/13/2026,ct_scoop_batch1_output,2026-05-15
Two Trees Inn,"240 Indiantown Road, Ledyard, CT",Opening,"May 12, 2026 (ribbon cutting described as ""yesterday"" in the 5/13 article)",officially reopened,"Two Trees Inn officially reopened with a ribbon cutting ceremony attended by members of the Mashantucket Pequot Tribal Nation and the new operator, Waterford Hotel Group. The 280-room hotel features an indoor pool, fitness center, walking trails, on-site breakfast, and a bar with light bites.",https://www.theconnecticutscoop.com/all-new-london-county-posts/ledyard-scoop-two-trees-inn-reopens-near-foxwoods,5/13/2026,ct_scoop_batch1_output,2026-05-15
No qualifying business found,N/A,N/A,N/A,N/A,"The article headline references a new mixed-use development eyed for the former Apple Cinemas building in Hartford County. However, the article body contains no readable content beyond site navigation — no business name, address, date, or status details are present.",https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-new-mixed-use-development-eyed-for-former-apple-cinemas-building,Not specified,ct_scoop_batch1_output,2026-05-26
Marianna's Pantry,"Stratford, CT (Address not specified)",Opening,Not specified,reopens,"The article headline states that Marianna's Pantry has reopened in Stratford. No further body text, address, zip code, or date details are available in the provided content.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/stratford-scoop-mariannas-pantry-reopens-in-stratford,Not specified,ct_scoop_batch1_output,2026-05-26
Thena Pita Bar,"Moodus, CT (Address not specified)",Opening,Not specified,opens,"The article headline states that Thena Pita Bar has opened in Moodus. No further body text, address, zip code, or date details are available in the provided content.",https://www.theconnecticutscoop.com/all-middlesex-county-posts/moodus-scoop-thena-pita-bar-opens,Not specified,ct_scoop_batch1_output,2026-05-26
Augusta Street Kitchen,"Middletown, CT (Address not specified)",Closing,June 20th (year not specified),close on June 20th,"The article headline states that Augusta Street Kitchen is set to close on June 20th in Middletown. No further body text, address, zip code, or year details are available in the provided content.",https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-augusta-street-kitchen-to-close-on-june-20th,Not specified,ct_scoop_batch1_output,2026-05-26
We-Li-Kit Ice Cream,"Pomfret, CT (Address not specified)",N/A,N/A,N/A,"The article headline states that We-Li-Kit Ice Cream was named Best Ice Cream Shop in Windham County. This is an award/recognition event, not an opening or closure; no qualifying business event details are present in the provided content.",https://www.theconnecticutscoop.com/all-windham-county-posts/pomfret-scoop-we-li-kit-ice-cream-named-as-best-ice-cream-shop-in-windham-county,Not specified,ct_scoop_batch1_output,2026-05-26
Mr. P's Frozen Treats,"Bristol, CT (Address not specified)",Opening,Not specified,coming soon,"The article headline states that Mr. P's Frozen Treats is coming soon to Bristol. No further body text, address, zip code, or opening date details are available in the provided content.",https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-mrps-frozen-treats-coming-soon-to-bristol,Not specified,ct_scoop_batch1_output,2026-05-26
,"775 Main Street South, Southbury, CT (Southbury Green shopping center)",Opening,2026-05-28,Opening confirmed / date announced,,,,ct_scoop_batch1_output,2026-05-27
,"430 Buckland Hills Drive, Manchester, CT",Opening (relocation),N/A,Under construction,,,,ct_scoop_batch1_output,2026-05-27
,"335 Salmon Brook Street, Granby, CT",Opening,N/A,Coming soon / no date announced,,,,ct_scoop_batch1_output,2026-05-27
,"3206 Berlin Turnpike, Newington, CT",Closure,N/A (reported week of 2026-05-25),Permanently closed,,,,ct_scoop_batch1_output,2026-05-27
,"1995–2001 Whitney Avenue, North Haven, CT",Opening,N/A (opened as of 2026-05-25),Open,,,,ct_scoop_batch1_output,2026-05-27
,"930 Chapel Street, New Haven, CT",Opening,N/A (opened weekend of 2026-05-25),Open,,,,ct_scoop_batch1_output,2026-05-27
Whole Foods Market,"2061 Highland Avenue, Cheshire, Connecticut",Opening,Not specified,recently opened,"Whole Foods Market is a grocery supermarket. It is listed among the tenants now open at The Shops at Stone Bridge, a new shopping center at 2061 Highland Avenue in Cheshire. The development finished major construction earlier this year with phased tenant openings starting in late 2025.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-update-on-the-shops-at-stone-bridge-here-is-what-is-open-and-what-is-coming-soon,6/8/2026,ct_scoop_batch1_output,2026-06-09
J Crew Factory,"2061 Highland Avenue, Cheshire, Connecticut",Opening,Not specified,recently opened,"J Crew Factory is a clothing retailer. It is listed among the tenants now open at The Shops at Stone Bridge, a new shopping center at 2061 Highland Avenue in Cheshire. The development is owned by Regency Centers and leased by Regency and Charter Realty.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-update-on-the-shops-at-stone-bridge-here-is-what-is-open-and-what-is-coming-soon,6/8/2026,ct_scoop_batch1_output,2026-06-09
Lovesac,"2061 Highland Avenue, Cheshire, Connecticut",Opening,Not specified,recently opened,"Lovesac is a furniture and home goods retailer. It is listed among the tenants now open at The Shops at Stone Bridge, a new shopping center at 2061 Highland Avenue in Cheshire. The development finished major construction earlier this year with phased tenant openings starting in late 2025.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-update-on-the-shops-at-stone-bridge-here-is-what-is-open-and-what-is-coming-soon,6/8/2026,ct_scoop_batch1_output,2026-06-09
Chase Bank,"2061 Highland Avenue, Cheshire, Connecticut",Opening,Not specified,recently opened,"Chase Bank is a financial services institution. It is listed among the tenants now open at The Shops at Stone Bridge, a new shopping center at 2061 Highland Avenue in Cheshire. The development is owned by Regency Centers and leased by Regency and Charter Realty.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-update-on-the-shops-at-stone-bridge-here-is-what-is-open-and-what-is-coming-soon,6/8/2026,ct_scoop_batch1_output,2026-06-09
